# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s
my-server,581,2017-06-15 06:40:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,eth2,1028.22,3219.84,193.85,3781.09,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,eth4,1.09,0.00,0.09,0.00,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,bond0,1029.31,3219.84,193.94,3781.09,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,lo,36.23,36.23,80.74,80.74,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,eth2,7546.94,12037.55,2957.90,9872.84,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,eth4,1.05,0.00,0.09,0.00,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,bond0,7548.00,12037.55,2957.99,9872.84,0.00,0.00,0.00
my-server,592,2017-06-15 06:50:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,lo,56.95,56.95,17.58,17.58,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,eth2,5076.19,7338.85,1814.53,5457.28,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,eth4,1.09,0.00,0.09,0.00,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,bond0,5077.28,7338.85,1814.61,5457.28,0.00,0.00,0.00
my-server,591,2017-06-15 07:00:01 UTC,bond1,0.40,0.10,0.02,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,lo,20.89,20.89,51.56,51.56,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,eth2,8566.81,12414.79,3173.05,9257.68,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,eth4,1.09,0.00,0.08,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
